??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
luma,[lu?ma],Advérbio,Forro (Santome),Bastante. 2.Muito. lutakunda[?luta?k?da](expr.)Engatinhar.,,,Araujo & Hagemeijer (2013),
lumadu,[lu?madu],Adjetivo,Forro (Santome),Arrumado. luva[?luva](n.)Luva.,,,Araujo & Hagemeijer (2013),
lumonhon,[lumõ??õ],Substantivo,Forro (Santome),Reunião.Cf.lenyon. luvon[lu?v?]? (n.)Valentia.,,,Araujo & Hagemeijer (2013),
lunfa,[l??fa],Verbo,Forro (Santome),Rufar. luxu[?lu?u](n.)1.Luxo. 2.Ostentação.,,,Araujo & Hagemeijer (2013),
lungwa,[?l?gwa],Substantivo,Forro (Santome),Idioma. 2.Língua. lwelwe[lw??lw?](v.)1.Aproximar(-se). 2.Dissimu-,,,Araujo & Hagemeijer (2013),
lungwa-gatu,[?l?gwa?gatu],Substantivo,Forro (Santome),Terrenopequeno. lar.,,,Araujo & Hagemeijer (2013),
lungwalaji,[l?gwa?la?i],Substantivo,Forro (Santome),Fofoqueiro. 2.Lingua- lyali[lja?li](n.)Ouriço.Paracentropiscabrilla.,,,Araujo & Hagemeijer (2013),
lungwa-vaka,[?l?gwa?vaka],Substantivo,Forro (Santome),Biscoito. 2.Re- juana.Cannabissativa.,,,Araujo & Hagemeijer (2013),
bentodapalmeira. lyon,[?ljõ],Substantivo,Forro (Santome),Leão.,,,Araujo & Hagemeijer (2013),
m,[?m],Pronome possessivo,Forro (Santome),Cf.mu. ma-kloson[?makl??s?]? (adj.)Malvado.,,,Araujo & Hagemeijer (2013),
ma,[?ma],Adjetivo,Forro (Santome),Má. 2.Mau. makoya[ma?k?ja](n.)1.Sarna. 2.Tabaco.Nicotia-,,,Araujo & Hagemeijer (2013),
feiíssima. makubungu,[makub??gu],Substantivo,Forro (Santome),Misturadecascaspara,,,Araujo & Hagemeijer (2013),
mabôbô,[mabo?bo],Substantivo,Forro (Santome),Camarãoamarelo. massagens.,,,Araujo & Hagemeijer (2013),
madadji,[ma?dad?i],Substantivo,Forro (Santome),Maldade. makuku[maku?ku](n.) Fogãotradicionalformado,,,Araujo & Hagemeijer (2013),
madêla,[ma?dela],Substantivo,Forro (Santome),"Madeira. porpedras,habitualmentetrês,dispostastriangular-",,,Araujo & Hagemeijer (2013),
madison,[madi?sõ],Substantivo,Forro (Santome),Maldição. menteequesuportamapanela.,,,Araujo & Hagemeijer (2013),
madlaxta,[ma?dla?ta],Substantivo,Forro (Santome),Madrasta. makulu[maku?lu](n.)Infecçãoanalcomsangramen-,,,Araujo & Hagemeijer (2013),
madlugadô,[madlu?gado],Substantivo,Forro (Santome),Madrugador.Cf.mla- e,,,Araujo & Hagemeijer (2013),
unga,[mak??ga],Substantivo,Forro (Santome),Alimentocozidoàbasedefa-,,,Araujo & Hagemeijer (2013),
du,[madlu?gadu],Substantivo,Forro (Santome),"Madrugada. Cf. mla- r m in a h k a ut d a e [ m m i a lh k o u , ?t e a n ] r ( o n la .) do",Madrugada,Cf.,Araujo & Hagemeijer (2013),
magita,[ma?gita],Substantivo,Forro (Santome),Malagueta. Capsicumannu- 3 m . a C la a k p u tu n r d a j d a o [ . malak??d?a](n.) Maracujá. Passiflora,Malagueta,Capsicumannu- 3 m .,Araujo & Hagemeijer (2013),
magita-pali,[ma?gitapa?li],Substantivo,Forro (Santome),Magita-pali. Medica- e m d a u l l a i k s. undja-blabu[malak??d?a?blabu](n.)Maracujá-,Magita-pali,Medica- e m d a u l l a i k s.,Araujo & Hagemeijer (2013),
m mo a m git u ô m yô m,[e m le a g g u i e ?t t o a j . o],Substantivo,Forro (Santome),Dongos-do-Congo. Afra- d m e a -c la o k b u r n a d . j P a a -n ss g i l fl an o d ra ji foe [ t m id a a la . k??d?a ??gl?d? ?i] (n.),Dongos-do-Congo,Afra- d m e a -c la o k b u r n a d .,Araujo & Hagemeijer (2013),
n,[ma?la?mõ],Substantivo,Forro (Santome),Casamento. 2.Ma-,,,Araujo & Hagemeijer (2013),
makabali,[makaba?li],Substantivo,Forro (Santome),Cambalhota. 2.Erva-de- malapyon[mala?pj?]? (n.) Marapião. Zanthoxylum,,,Araujo & Hagemeijer (2013),
makabungu,[makab??gu],Substantivo,Forro (Santome),Preparaçãodecascas malapyon-mwala[mala?pj???mwala](n.) Marapião-,,,Araujo & Hagemeijer (2013),
makalon,[maka?lõ],Substantivo,Forro (Santome),Macarrão. mali-bega[?mali?b?ga](n.)1.Dordebarriga. 2.Pri-,,,Araujo & Hagemeijer (2013),
makamblala,[mak?b? la?la],Substantivo,Forro (Santome),Macambrara.Crateris- sãodeventre.,,,Araujo & Hagemeijer (2013),
permummontanum. malidu,[ma?lidu],Substantivo,Forro (Santome),Marido.,,,Araujo & Hagemeijer (2013),
makêkê,[make?ke],Substantivo,Forro (Santome),Beringelaamarga. Solanum malikyadu[mali?kjadu](adj.)Malcriado.,Beringelaamarga,Solanum malikyadu[mali?kjadu](adj.,Araujo & Hagemeijer (2013),
macrocarpon. malikyadu,[mali?kjadu],Substantivo,Forro (Santome),Malcriado.,,,Araujo & Hagemeijer (2013),
malimboki,[mal??b?ki],Substantivo,Forro (Santome),Malimboki.Oncobaspino- manga-makaku[?m?g? ama?kaku](n.)Manga-maluca.,,,Araujo & Hagemeijer (2013),
malivla,[?malivla],Substantivo,Forro (Santome),Malva. Abutilongrandiflo- mangason[m?g? a?sõ](n.)1.Gozo. 2.Ironia. 3.Me-,Malva,Abutilongrandiflo- mangason[m?g? a?sõ](n.,Araujo & Hagemeijer (2013),
malixa,[ma?li?a],Substantivo,Forro (Santome),Capricho. 2.Malícia. 3.Mal- mangenge[m?g? ??ge](n.)Aranhamangenge.,,,Araujo & Hagemeijer (2013),
vadez. mangi,[?m?g? i],Substantivo,Forro (Santome),Mangue.,,,Araujo & Hagemeijer (2013),
malôkô,[ma?loko],Adjetivo,Forro (Santome),Ingênuo. 2.Inocente. mangi-d’ôbô [?m?g? i do?bo] (n.) Nêspera-do-mato.,,,Araujo & Hagemeijer (2013),
malôtô,[ma?loto],Adjetivo,Forro (Santome),Maroto. mangineza[m?g? i?n?za](n.)Magnésio.,,,Araujo & Hagemeijer (2013),
malu,[?malu],Substantivo,Forro (Santome),Cônjuge. 2.Esposa. 3.Esposo. mangi-ple [?m?g? i ?pl?] (n.) Mangue-da-praia. Ri-,,,Araujo & Hagemeijer (2013),
malun,[?mal?],Substantivo,Forro (Santome),Cônjuge. 2.Esposa. 3.Esposo. manglôlô[m?g? lo?lo](n.)Camarãoderio(espécie).,,,Araujo & Hagemeijer (2013),
ma-lungwa,[?ma?l?gwa],Adjetivo,Forro (Santome),Maledicente. danielii.,,,Araujo & Hagemeijer (2013),
maluvada,[malu?vada],Adjetivo,Forro (Santome),Malvada. 2.Má. ques.,,,Araujo & Hagemeijer (2013),
maluvadu,[malu?vadu],Adjetivo,Forro (Santome),Malvado. 2.Mau. manha[m????a](v.)1.Deixarde. 2.Reduzir.,,,Araujo & Hagemeijer (2013),
mama,[ma?ma],Substantivo,Forro (Santome),Mãe. 2.Senhora. manhêlu[m????elu](n.)Marinheiro. M,,,Araujo & Hagemeijer (2013),
mama-kadela,[?mamaka?d?la],Substantivo,Forro (Santome),Nádegas. 3.Fúria. 4.Nervosismo.Cf.mandjinga.,,,Araujo & Hagemeijer (2013),
mamalongô,[mama?lõgo],Substantivo,Forro (Santome),Mamalongô. Luffa manjinkon[m??? ??kõ](n.) Manjericão. Cf. mlanjin-,Mamalongô,Luffa manjinkon[m??? ??kõ](n.,Araujo & Hagemeijer (2013),
a m pa e a g t m u y l p b a t l . i ê a b c l a ê .,[m?b? le?ble],Substantivo,Forro (Santome),Mamblêblê.Brillantaisia m m a a n n k k ê a lê [m [m ??? ? k k? a e ] ?l ( e v ] .) (a 1 d . j M .) a 1 n . c A ar l . eij 2 a . d M o. an 2 q . u M ej a a n r c . o.,,,Araujo & Hagemeijer (2013),
papaya. mankwete,[m?k? w??t?],Advérbio,Forro (Santome),Abundantemente.,,,Araujo & Hagemeijer (2013),
mamônô,[mamo?no],Substantivo,Forro (Santome),Mamona. Ricinuscom- tre. 8.Estarnomeio.,Mamona,Ricinuscom- tre.,Araujo & Hagemeijer (2013),
Zanthoxylumgillettii. manse,[m???s?],Substantivo,Forro (Santome),Estrangeiro. 2.Serviçal.,,,Araujo & Hagemeijer (2013),
mana,[?mana],Substantivo,Forro (Santome),Irmã. 2.Mana. manson[m???sõ](n.)1.Maçã. 2.Mansão.,,,Araujo & Hagemeijer (2013),
manaka,[mana?ka],Substantivo,Forro (Santome),Manaka. Brunfelsiauniflo- mansu[?m?s?u](adj.)1.Dissimulado.Numiguman-,Manaka,Brunfelsiauniflo- mansu[?m?s?u](adj.,Araujo & Hagemeijer (2013),
manda,[m???da],Conjunção,Forro (Santome),Porisso.Cf.êlêmanda. manta[?m?t?a](n.)Manta.,,,Araujo & Hagemeijer (2013),
nar. mantega,[m???t?ga],Substantivo,Forro (Santome),Manteiga.,,,Araujo & Hagemeijer (2013),
mandabi,[m???da?bi],Verbo,Forro (Santome),Convocar. 2.Importar. mantine[m?t?i?n?](n.)Matinê.,,,Araujo & Hagemeijer (2013),
mandjinga,[m???d??ga],Substantivo,Forro (Santome),Ataquedefúria. 2.Có- ções.,,,Araujo & Hagemeijer (2013),
mandjingêlu,[m?d? ???gelu],Adjetivo,Forro (Santome),Desordeiro. manu[?manu](n.)1.Irmão. 2.Mano.,,,Araujo & Hagemeijer (2013),
mandjoka,[m???d??ka],Substantivo,Forro (Santome),Mandioca.Manihotescu- xi.,,,Araujo & Hagemeijer (2013),
lenta. manzenze,[m?z????z?],Substantivo,Forro (Santome),Vinhodepalmamuitodoce.,,,Araujo & Hagemeijer (2013),
mandjoka-zaya,[m???d??ka ?zaja],Substantivo,Forro (Santome),Mandioca- mapinta[map??ta](n.) Tubarão-baleia. Rhincodon,,,Araujo & Hagemeijer (2013),
mandjolo,[m?d? ???l?],Substantivo,Forro (Santome),Mandjolo. Solenostemon maplamina[mapla?mina](n.) Camarãoderio(espé-,Mandjolo,Solenostemon maplamina[mapla?mina](n.,Araujo & Hagemeijer (2013),
manduku,[m???duku],Substantivo,Forro (Santome),Acha. 2.Bastão.3.Bor- masa[?masa](n.)1.Argamassa. 2.Gesso. 3.Massa,,,Araujo & Hagemeijer (2013),
manga,[?m?g? a],Substantivo,Forro (Santome),Manga. 2.Manga. (Parteda masa[ma?sa](v.)1.Amassar. 2.Incomodar. 3.Ma-,,,Araujo & Hagemeijer (2013),
masada,[masa?da],Verbo,Forro (Santome),Cansar. 2.Incomodar. maxi-montxi [?ma?i ?mõt?i] (quant.),,,Araujo & Hagemeijer (2013),
masadadu,[masa?dadu],Adjetivo,Forro (Santome),Cansado. 2.Incomo- 2.Muitos. Maximontxinensangêve. Muitasdas,Muitos,Maximontxinensangêve.,Araujo & Hagemeijer (2013),
masadô,[masa?do],Substantivo,Forro (Santome),Argamassador. maxipombô [?ma?i?põbo] (n.) Maxipombô. Hemi-,,,Araujo & Hagemeijer (2013),
masakle,[ma?sakl?],Substantivo,Forro (Santome),Massacre. ramphusbalao.,,,Araujo & Hagemeijer (2013),
masêtê,[ma?sete],Substantivo,Forro (Santome),Cacete. 2.Pauparamatar maxkelenxa[ma?k??l???a](n.)1.Dívidamoral. 2.Mal-,,,Araujo & Hagemeijer (2013),
ma-sonhu,[?ma?sõ?u],Substantivo,Forro (Santome),Pesadelo. maxkovadu[ma?k??vadu](n.)Mulato.,,,Araujo & Hagemeijer (2013),
ma-sotxi,[?ma?s?t?i],Substantivo,Forro (Santome),Azar. mayaga[maja?ga](n.)Molhoàbasedefolhasepeixe.,,,Araujo & Hagemeijer (2013),
E m m x a a c t t c a a i - c,[b . m is a u ?t [ a ?m],a v t . a,Forro (Santome),?b 1 i . s A u] ca ( b n a .) r.,,,Araujo & Hagemeijer (2013),
matakumbi,[mata?k?bi],Substantivo,Forro (Santome),Matakumbi.Ritmomusi- me[?m?](adv.)1.Mesmo. 2.Próprio.,,,Araujo & Hagemeijer (2013),
c m a a l. tapasu,[mata?pasu],Substantivo,Forro (Santome),Mata-passo. Pentadesma m m e ê - - b d l j u a g [ a m d e u ?d [ ? ?m a] ? ( b n l . u ) ?g M ad e u io ] -d (n ia .) . Pênis.,Mata-passo,Pentadesma m m e ê - - b d l j u a g [ a m d e u ?d [ ? ?m a] ? ( b n l .,Araujo & Hagemeijer (2013),
b m u a t t y a ra u c b e w a ê .,[matu?bwê],Expressão,Forro (Santome),Suicidar-se. m m e ê n -d te ’o . la[me?d?la](adv.)1.Derepente. 2.Rapida-,,,Araujo & Hagemeijer (2013),
matawula,[mata?wula],Substantivo,Forro (Santome),Peixesalgado. mega[?m?ga](n.)Melga.,,,Araujo & Hagemeijer (2013),
matazen,[mata?z?],Substantivo,Forro (Santome),Matazen. Merremiaaegyp- mêgêmêgê[me?geme?ge](id.)Cf.myêgêmyêgê.,Matazen,Merremiaaegyp- mêgêmêgê[me?geme?ge](id.,Araujo & Hagemeijer (2013),
tia. mêji,[?me?i],Conjunção,Forro (Santome),Mas.Cf.maji.,,,Araujo & Hagemeijer (2013),
matelu,[ma?t?lu],Substantivo,Forro (Santome),Martelo. mêji[?me?i](n.)Mês.,,,Araujo & Hagemeijer (2013),
matete,[mat??t?],Substantivo,Forro (Santome),Refugodoóleodepalma. meka[?m?ka](n.)1.Cicatriz. 2.Marca.,,,Araujo & Hagemeijer (2013),
matêya,[ma?teja],Substantivo,Forro (Santome),Pus. mela[m??la](v.)Amadurecerbastante.,,,Araujo & Hagemeijer (2013),
matimatika,[mati?matika],Substantivo,Forro (Santome),Matemática. mele[?m?l?](n.)Mel.,,,Araujo & Hagemeijer (2013),
matli,[?matli],Substantivo,Forro (Santome),Fitolaca.Phytolaccadodecandra. mê-lentxi[?me?l?t?i](adv.)1.Assim-assim. 2.Mais,,,Araujo & Hagemeijer (2013),
matli-mwala,[?matli?mwala],Substantivo,Forro (Santome),Plumbago-branca. oumenos.,,,Araujo & Hagemeijer (2013),
Plumbagozeylanica. mele-vunvu,[m?l?v??vu],Substantivo,Forro (Santome),Meldeabelha.,,,Araujo & Hagemeijer (2013),
matlusu,[ma?tlusu],Substantivo,Forro (Santome),Erva-de-Santa-Maria.Che- melon[m??l?]? (n.)Melão.,,,Araujo & Hagemeijer (2013),
matotadji,[mat??tad?i],Substantivo,Forro (Santome),Sujeira. femininodofolclore.,,,Araujo & Hagemeijer (2013),
matotaji,[mat??ta?i],Substantivo,Forro (Santome),Sujeira.Cf.matotadji. memblu[?m?b?lu](n.)Membro.,,,Araujo & Hagemeijer (2013),
matu,[?matu],Substantivo,Forro (Santome),Campo. 2.Mato. 3.Terrenobal- meme[m??m?](n.)1.Mãe. 2.Pó-lixa.Ficusexaspe-,,,Araujo & Hagemeijer (2013),
matu-bana,[?matu?bana],Substantivo,Forro (Santome),Folha-ponto.Achyran- memen[m??m?]? (n.)Enorme.,,,Araujo & Hagemeijer (2013),
matu-kana,[?matuka?na],Substantivo,Forro (Santome),Matu-kana. Mikania menda[?m?d?a](n.)Emenda.,Matu-kana,Mikania menda[?m?d?a](n.,Araujo & Hagemeijer (2013),
chenopodiifolia. menda,[m???da],Verbo,Forro (Santome),Corrigir. 2.Emendar.,,,Araujo & Hagemeijer (2013),
matxanzoxi,[mat????z??i],Substantivo,Forro (Santome),Matxanzoxi. Syzygium men-dawa[m???dawa](n.)1.Água-viva. 2.Alforreca.,Matxanzoxi,Syzygium men-dawa[m???dawa](n.,Araujo & Hagemeijer (2013),
matxi,[?mat?i],Substantivo,Forro (Santome),Dificuldade. 2.Sacrifício. mendu[?m?d?u](n.)1.Medo. 2.Receio.,,,Araujo & Hagemeijer (2013),
matxikula,[mat?iku?la],Verbo,Forro (Santome),Matricular. mendu[?m?d?u](v.)Termedo.,,,Araujo & Hagemeijer (2013),
matxoka,[mat???ka],Verbo,Forro (Santome),Amarrotar. 2.Machu- menemene[m??n?m??n?](id.)Cf.doximenemene.,,,Araujo & Hagemeijer (2013),
car. men-kaki,[?m??ka?ki],Substantivo,Forro (Santome),Mãe-de-caqui. Myripristis,,,Araujo & Hagemeijer (2013),
matxokadu,[mat???kadu],Adjetivo,Forro (Santome),Amarrotado. jacobus.,,,Araujo & Hagemeijer (2013),
maw,[?maw],Adjetivo,Forro (Santome),Má. 2.Mau. mensê[m??se](v.)1.Amar. 2.Desejar. 3.Precisar,,,Araujo & Hagemeijer (2013),
ma-wê,[?ma?we],Substantivo,Forro (Santome),Mau-olhado. de. 4.Querer.Cf.mêsê.,,,Araujo & Hagemeijer (2013),
maxi,[?ma?i],Advérbio,Forro (Santome),Mais. menu[m??nu](n.)Tipodecarnavalsão-tomense.,,,Araujo & Hagemeijer (2013),
maxibin,[ma?i?b?],Substantivo,Forro (Santome),Jovem. 2.Mancebo. 3.Ra- menu[?m?nu](quant.)Menos.,,,Araujo & Hagemeijer (2013),
paz. mesa,[m??sa],Verbo,Forro (Santome),Mostraralíngua. 2.Surgir.,,,Araujo & Hagemeijer (2013),
mese,[?m?s?],Substantivo,Forro (Santome),Herbalista. 2.Mestre. 3.Profes- mina-mindjan[?minam??d??]? (n.)Prematuro.,,,Araujo & Hagemeijer (2013),
mêsê,[me?se],Substantivo,Forro (Santome),Amor. 2.Desejo. 3.Vontade. mina-mosu[?mina?m?su](n.)Rapaz.,,,Araujo & Hagemeijer (2013),
mesesela,[m?s??s?la],Substantivo,Forro (Santome),Inseto. mina-ome[?mina??m?](n.) 1.Filho. 2.Menino.,,,Araujo & Hagemeijer (2013),
metadji,[m??tad?i],Substantivo,Forro (Santome),Metade. 3.Moço.,,,Araujo & Hagemeijer (2013),
mêtê,[me?te],Verbo,Forro (Santome),Meter. mina-pikina[?minapi?kina](n.)1.Bebê. 2.Criança.,,,Araujo & Hagemeijer (2013),
mê-txibi,[?me?t?ibi],Advérbio,Forro (Santome),Assim-assim. 2.Maisou mina-pinta[?mina?p?ta](n.)Pintinho.,,,Araujo & Hagemeijer (2013),
menos. mina-pixi,[?mina?pi?i],Substantivo,Forro (Santome),Pênisdecriança.,,,Araujo & Hagemeijer (2013),
mêya,[?meja],Substantivo,Forro (Santome),Meia. 2.Peúga. mina-santome[?minas?t???m?](n.) 1.Filhodaterra.,,,Araujo & Hagemeijer (2013),
mêya-nôtxi,[meja?not?i],Substantivo,Forro (Santome),Meia-noite. 2.Forro. 3.São-tomense.,,,Araujo & Hagemeijer (2013),
meza,[?m?za],Substantivo,Forro (Santome),Mesa. mina-sentenxa[?minas???t???a](n.)Criançaquenãopa-,,,Araujo & Hagemeijer (2013),
migu,[?migu],Substantivo,Forro (Santome),Amigo. mindjan-matu[m??d????matu](n.) Mezinhatradicio-,,,Araujo & Hagemeijer (2013),
miji,[mi??i],Verbo,Forro (Santome),Medir.Cf.midji.,,,Araujo & Hagemeijer (2013),
mikoko,[mik??k?],Substantivo,Forro (Santome),Alfavaca-cravo. Ocimumgra- mindjan-saka[m??d???sa?ka](n.)Vomitório.,Alfavaca-cravo,Ocimumgra- mindjan-saka[m??d???sa?ka](n.,Araujo & Hagemeijer (2013),
tissimum. mingwa,[m??gwa],Verbo,Forro (Santome),Diminuir. 2.Minguar.,,,Araujo & Hagemeijer (2013),
mikoko-kampu,[mik??k??k?p? u],Substantivo,Forro (Santome),Cambará.Lanta- mingwantxi[m??gw?t??i](n.)Minguante.,,,Araujo & Hagemeijer (2013),
n m a ik c o a lo m,[a m ra ik . ??l?],Substantivo,Forro (Santome),Saiautilizadanasfestasreligio- m ce i s n s h á o ri n o. [m 4 ? . ?? S õ e ] r ( p a r d e v c . i ) so 1 . .A C n f. te m s. ilh 2 o . n M . elhor. 3.Serne-,,,Araujo & Hagemeijer (2013),
sasepopulares. minimu,[mi?nimu],Substantivo,Forro (Santome),Mínimo.,,,Araujo & Hagemeijer (2013),
mikondo,[mik???d?],Substantivo,Forro (Santome),Baobá. 2.Imbondeiro. minixtelyu[mini??t?lju](n.)Ministério.,,,Araujo & Hagemeijer (2013),
milantxi,[mi?l?t??i],Substantivo,Forro (Santome),Meliante. mintxi[m??t?i](n.)Luxação.,,,Araujo & Hagemeijer (2013),
mile,[mi?l?],Substantivo,Forro (Santome),Mil-réis.Antigaunidademonetária. mintxi[m??t?i](v.) 1.Desarticular. 2.Deslocar.,,,Araujo & Hagemeijer (2013),
milhon,[mi??õ],Advérbio,Forro (Santome),Antes. 2.Melhor. 3.Serne- 3.Luxar.,,,Araujo & Hagemeijer (2013),
mili,[?mili],Numeral,Forro (Santome),Mil. mintxidu[m??t?idu](n.)1.Desarticulação. 2.Deslo-,,,Araujo & Hagemeijer (2013),
milondo,[mil???d?],Substantivo,Forro (Santome),Milondo. Acridocarpuslongi- cação.,Milondo,Acridocarpuslongi- cação.,Araujo & Hagemeijer (2013),
folius. mintxila,[m??t?ila],Substantivo,Forro (Santome),Mentira.,,,Araujo & Hagemeijer (2013),
mimoya,[mi?m?ja],Substantivo,Forro (Santome),Brinco. mintxila[m??t?ila](v.)Mentir.,,,Araujo & Hagemeijer (2013),
mimu,[?mimu],Substantivo,Forro (Santome),Mimo. minutu[mi?nutu](n.)Minuto.,,,Araujo & Hagemeijer (2013),
min,[?m?],Substantivo,Forro (Santome),Milho. 2.Milheiro.Zeamays. misa[?misa](n.)Missa.,,,Araujo & Hagemeijer (2013),
mina,[?mina],Substantivo,Forro (Santome),Criança. 2.Filha.3.Filho.4.Me- misali[mi?sali](n.)Missal.,,,Araujo & Hagemeijer (2013),
minabodobodo,[?minab??d?b??d?],Expressão,Forro (Santome),Sensualís- mixidadji[mi?i?dad?i](n.)1.Carência. 2.Necessida-,,,Araujo & Hagemeijer (2013),
mina-dedu,[?mina?d?du],Substantivo,Forro (Santome),Dedomindinho. mixidaji[mi?i?da?i](n.)1.Carência. 2.Necessidade.,,,Araujo & Hagemeijer (2013),
mina-fili,[?mina?fili],Substantivo,Forro (Santome),Bebê. 2.Criançapeque- 3.Privação. 4.Pobreza.Cf.mixidadji.,,,Araujo & Hagemeijer (2013),
na. mixikodji,[mi?i?k?d?i],Substantivo,Forro (Santome),Misericórdia.,,,Araujo & Hagemeijer (2013),
mina-filipetepete,[?mina?filip??t?p??t?],Expressão,Forro (Santome),Crian- mixkitu[mi??kitu](n.)Mosquito.,,,Araujo & Hagemeijer (2013),
çamuitopequena. mixtula,[mi??tula],Substantivo,Forro (Santome),Mistura.,,,Araujo & Hagemeijer (2013),
mina-kasô,[?minaka?so],Substantivo,Forro (Santome),Cachorrinho. miza[mi?za](n.)Esperma.,,,Araujo & Hagemeijer (2013),
mina-kono,[?minak??n?],Substantivo,Forro (Santome),Clítoris. mizelya[mi?z?lja](n.)Miséria.,,,Araujo & Hagemeijer (2013),
mina-kya,[?mina?kja],Substantivo,Forro (Santome),Criado. 2.Meninodere- mizonge[miz???g?](n.)Pratotípicofeitoàbasedever-,,,Araujo & Hagemeijer (2013),
mina-lemi,[?mina?l?mi],Substantivo,Forro (Santome),Clítoris. mlaga[mla?ga](n.)Pâncreas.,,,Araujo & Hagemeijer (2013),
mlaga,[mla?ga],Verbo,Forro (Santome),Amargar. mon-betu[?mõ?b?tu](adj.) 1.Generoso. 2.Pródi-,,,Araujo & Hagemeijer (2013),
mlagadu,[mla?gadu],Adjetivo,Forro (Santome),Amargado. 2.Amargo- go.,,,Araujo & Hagemeijer (2013),
so. mon-fisadu,[?mõfi?sadu],Adjetivo,Forro (Santome),Avarento. 2.Mão-,,,Araujo & Hagemeijer (2013),
mlagôzu,[mla?gozu],Substantivo,Forro (Santome),Amargoso.Mammeaafrica- de-vaca. 3.Sovina. 4.Somítico.,,,Araujo & Hagemeijer (2013),
na. monha,[m????a],Verbo,Forro (Santome),Molhar.,,,Araujo & Hagemeijer (2013),
mlagu,[?mlagu],Adjetivo,Forro (Santome),Magro. monhadu[m????adu](adj.)Molhado.,,,Araujo & Hagemeijer (2013),
mlagubenfebenfe,[?mlagub???f?b???f?],Expressão,Forro (Santome),Estrei- monha potopoto[m????ap??t?p??t?](expr.) Enchar-,,,Araujo & Hagemeijer (2013),
mlagutxeketxeke,[?mlagut???k?t???k?],Expressão,Forro (Santome),Macér- mon-klaniji[?mõkla?ni?i](n.)Artrosereumática.,,,Araujo & Hagemeijer (2013),
rimo. mon-kluklu,[?mõklu?klu],Substantivo,Forro (Santome),Braçoamputado.,,,Araujo & Hagemeijer (2013),
mlaka,[mla?ka],Verbo,Forro (Santome),Bordar. 2.Demarcar. 3.Mar- monko[m???k?](n.) 1.Moncó. Designaçãopejorati-,,,Araujo & Hagemeijer (2013),
mlanjinkon,[ml??? ??kõ],Substantivo,Forro (Santome),Manjericão. Ocimummi- mono[?m?n?](adj.)Morno.,Manjericão,Ocimummi- mono[?m?n?](adj.,Araujo & Hagemeijer (2013),
nimum. monsonson,[mõsõ?sõ],Substantivo,Forro (Santome),Erva-cacho. Paspalum,,,Araujo & Hagemeijer (2013),
mlaxka,[?mla?ka],Substantivo,Forro (Santome),Máscara. paniculatum. 2.Massagemterapêutica.,,,Araujo & Hagemeijer (2013),
mlazuga,[mlazu?ga],Verbo,Forro (Santome),Madrugar. montalha[m???ta?a](n.)Mortalha.,,,Araujo & Hagemeijer (2013),
mlazugadu,[mlazu?gadu],Substantivo,Forro (Santome),Madrugada. montxa[m???t?a](v.)1.Caçar. 2.Perseguir.,,,Araujo & Hagemeijer (2013),
mlazugadô,[mlazuga?do],Substantivo,Forro (Santome),Madrugador. montxadô[m?t??a?do](n.)Caçador.,,,Araujo & Hagemeijer (2013),
mo,[?m?],Conjunção,Forro (Santome),Àsemelhançade. 2.Assimcomo. montxi[?m?t??i](adv.) 1.Aosmontes. 2.Monte.,,,Araujo & Hagemeijer (2013),
moda,[?m?da],Substantivo,Forro (Santome),Costume. 2.Forma.Cf.modu. mosu[?m?su](n.)1.Jovem. 2.Moço.,,,Araujo & Hagemeijer (2013),
môdê,[mo?de],Verbo,Forro (Santome),Morder. sonagemdoTxiloliquelevaacartadeD.CarlotoaD.,,,Araujo & Hagemeijer (2013),
modu,[?m?du],Substantivo,Forro (Santome),Maneira. 2.Modo.3.Forma. Roldão.,Forma,Roldão.,Araujo & Hagemeijer (2013),
modukumodu,[?m?duku?m?du],Advérbio,Forro (Santome),Dequalquer mosu-kya[?m?su?kja](n.)Criado.,,,Araujo & Hagemeijer (2013),
forma. motali,[m??tali],Adjetivo,Forro (Santome),Imundo.,,,Araujo & Hagemeijer (2013),
modu-modu,[?m?du?m?du],Advérbio,Forro (Santome),Dequalquerma- moto[?m?t?](n.)Motocicleta.,,,Araujo & Hagemeijer (2013),
mofalamoklonvesa,[?m??fala?m?klõv??sa],Advérbio,Forro (Santome),motxi[?m?t?i](n.)1.Morte. 2.Morto.,,,Araujo & Hagemeijer (2013),
mogomogo,[m??g?m??g?],Ideofone,Forro (Santome),Cf.molimogomogo. môvê[mo?ve](v.)1.Abortar. 2.Atrofiar.,,,Araujo & Hagemeijer (2013),
mola,[?m?la],Substantivo,Forro (Santome),Mola. môvidu[mo?vidu](adj.)1.Atrofiado. 2.Enfezado.,,,Araujo & Hagemeijer (2013),
môladô,[mola?do],Substantivo,Forro (Santome),Cidadão. 2.Forroperten- mpali[?mpali](n.)Par.,,,Araujo & Hagemeijer (2013),
