??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
r b P o r ô . í b n ô c - ip fi e tu .,[bo?bo?fitu],Substantivo,Forro (Santome),DocedebananadaIlhado b b o o l l o oj d a ô- [ m b? in l? d ?? ja a n ] [ ( b v ? .) l??d 1 o . m Im ?? i d sc ? u ? i ]? r- ( s n e . . )Ma 2 s . sa T g a i g st a a r . elar.,,,Araujo & Hagemeijer (2013),
b C ô e b ph ô a -k lo em ph a ol,[is bo ta ?b e o ni ? o k p ? s m . a],Substantivo,Forro (Santome),Garoupadepintas. 3 b . o T lo en m ta i r n c d a ja ti n va [ r b p ? a ?l r ? a m ob ?? t d e ? r ? a ]? lg ( o ex e p m r.) troc 1 a . . Massagear.,,,Araujo & Hagemeijer (2013),
bodla,[b??dla],Verbo,Forro (Santome),Bordar. tumakufôlôza.Aindabemquejáteacostumasteaos,,,Araujo & Hagemeijer (2013),
bodobodo,[b??d?b??d?],Ideofone,Forro (Santome),Cf.minabodobodo. bondôzô[bõ?dozo](adj.)Generoso.,,,Araujo & Hagemeijer (2013),
sali,[b??sali],Adjetivo,Forro (Santome),Boçal. 2.Grosseiro. 3.Ru-,,,Araujo & Hagemeijer (2013),
bodo-matu,[?b?d??matu],Substantivo,Forro (Santome),Excrementos. bota[?b?ta](n.)Bota.,,,Araujo & Hagemeijer (2013),
bodon,[b??dõ],Substantivo,Forro (Santome),Bordão. 2.Cacete. 3.Porrete. botandji[b?t???d?i](n.)Bretangil.,,,Araujo & Hagemeijer (2013),
bofyo,[b??fj?],Substantivo,Forro (Santome),Fruta-pãogrande. 4.Garrafadebarrogrande.,,,Araujo & Hagemeijer (2013),
bogoso,[b?g??s?],Verbo,Forro (Santome),Comer. boto[b??t?](n.)Botão.Cf.boton.,,,Araujo & Hagemeijer (2013),
bogoto,[b?g??t?],Substantivo,Forro (Santome),Bogoto.Polliacondensata. boton[b??t?]? (n.)Botão.,,,Araujo & Hagemeijer (2013),
boka,[?b?ka],Substantivo,Forro (Santome),Boca. 2.Entrada. 3.Lábios. botono[b?t??n?](adj.)Glabro.,,,Araujo & Hagemeijer (2013),
boka-bela,[?b?ka?b?la],Substantivo,Forro (Santome),Fozderio. boya[?b?ja](n.)1.Bóia. 2.Fruta-pão.,,,Araujo & Hagemeijer (2013),
bokabili,[?b?kabi?li],Substantivo,Forro (Santome),Bocejar. boya[b??ja](v.) 1.Flutuar. 2.Levantar. 3.Suspen-,,,Araujo & Hagemeijer (2013),
boka-binku,[?b?ka?b?ku],Substantivo,Forro (Santome),Umbigo. der.,,,Araujo & Hagemeijer (2013),
boyadu,[b??jadu],Adjetivo,Forro (Santome),Emerso. 2.Içado. buseta[bu?s?ta](n.) 1.Bocetaondeospescadores,,,Araujo & Hagemeijer (2013),
bonzwanu,[b???zwanu],Substantivo,Forro (Santome),felizanonovo. guardamosseusacessóriosdepesca. 2.Receita.,,,Araujo & Hagemeijer (2013),
bu blugidi,[?bu blugi?di],Expressão,Forro (Santome),Desmoronar. busu[?busu](n.)1.Bucho. 2.Estômago.,,,Araujo & Hagemeijer (2013),
