"Palavra (Lung'Ie)","Categoria","Traducao PT","Variante","Fonte"
"nii","Advérbio","aqui","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Nijya","Topónimo","Nigéria","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mwadu potopoto","Expressão","muito molhado ningê 1. n. pessoa; 2. pro. quem ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
ningê-tamwin","Substantivo","adulto ôkyê 1. n. ladeira; 2. n. morro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nixi","Advérbio","aqui Ôkyê Karyotxi top. Ôkyê KaryotxiC17","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ôkyê Têêxi","Topónimo","Ôkyê Têêxi","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Olivêru","Antropónimo","Oliveiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"olosaka","Substantivo","jiló","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nodextxi","Substantivo","nordeste omi 1. n. homem; 2. n. marido","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nomi","Substantivo","nome ontxi adv. ontem","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nona","Substantivo","anona (Anona squamosa)T09                     onze num. onze","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nona-konxa","Substantivo","araticum-da-praia                        ope 1. n. pé; 2. n. perna ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ope-vêêdê","Substantivo","perna-verde-comum","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nootxi","Substantivo","norte (Tringa nebularia)T06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nota","Substantivo","nota ora 1. adv. ora; 2. adv. quando ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nova","Substantivo","novidade ôrôkô n. camundongo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Nova Kuba","Topónimo","Nova Cuba ôrôrô n. canga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Nova Teela","Topónimo","Nova Estrela ose n. céu","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nove","Numeral","nove oso n. roça","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"novembu","Substantivo","novembro ôsôbô n. ossobô, cuco-esmeraldinho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"novena","Substantivo","novena (Chrysococcyx cupreus insularum)T06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"noventa","Numeral","noventa oso-moli n. oso-moli (Uraspis secunda)T09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"novesentu","Numeral","novecentos otaji n. otaji (Gongronema latifolium)T09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Otakana","Topónimo","Otakana","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Novu Dixtxinu","Topónimo","Novo Destino otalisa n. hortaliças","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"novu petepete","Expressão","muito novo ôtô 1. n. garganta; 2. n. pescoço; 3. pro. outroT05","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nunxya","Substantivo","Nossa Senhora ototo n. ototo (Malvastrum","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nwese","Substantivo","concha de coco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ôtubu","Substantivo","outubro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"nzami","Substantivo","exame","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ovu","Substantivo","ovo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ôbisêvasan","Substantivo","observação 3. pro. 2PL.OI; 4. pro. 2PL.POSS;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"obobo","Substantivo","obobo. Prato típico elaborado                 5. pro. 2PL.SUJ","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"oyobo","Substantivo","noz-moscada da Jamaica","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"obyomon","Substantivo","leitoa parturiente ôzê n. hoje","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"odenamentu","Substantivo","ordenamento ozege 1. n. lagartixa; 2. n. osga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ôgbôgôdô","Substantivo","barranco pa conj. para","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ôkyê","Substantivo","macaco paa n. praia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"okori","Substantivo","larva Paa Baana top. Praia Banana","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Belu Montxi","Topónimo","Praia Belo Monte Pala Lavi top. escola Paula Lavres","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Bumbu","Topónimo","Praia Abelha palapala n. banana frita cortada em lâminasL07","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Bura","Topónimo","Praia Burra palava n. palavra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Bwa","Topónimo","Praia Burra palexta n. palestra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Eva","Topónimo","Praia Évora palipa usan 1. expr. apalpar o terreno;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Gaani","Topónimo","Praia Grande","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"palito","Substantivo","paletó","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Gaani Sulu","Topónimo","Praia Grande Sul","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"palixa","Verbo","conversar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Jênêrali Fonseka","Topónimo","Praia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pampôlê","Substantivo","pampôlêT07","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Kasan","Topónimo","Praia Caixão pana utabu expr. aplanar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Kazu","Topónimo","Praia Caju panha fooza expr. enferrujar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Kêtê","Topónimo","Praia Pequena pantasan n. plantação","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Lapa","Topónimo","Praia Lapa para mize expr. para mize. Prática de reter","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Maa Kwaa","Topónimo","Praia Maria Correia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pari","Substantivo","par","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Magarida","Topónimo","Praia Margarida","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Makaku","Topónimo","Praia Macaco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pasa","Verbo","passar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Ôryô Santome","Topónimo","Praia Rio de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pasa ubuka","Expressão","comer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Pôtxin","Topónimo","Praia Portinho pasô 1. adv. adeus!; 2. adv. tchau!","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Saagada","Topónimo","Praia Salgada pasu n. pássaro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Seka","Topónimo","Praia Seca pasu-kuuzu n. andorinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Sundi","Topónimo","Praia Sundy pata-awa n. pata-d’água","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Têtuuga","Topónimo","Praia Tartaruga pata-umwe n. pato-marinho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Ubadê","Topónimo","Praia Abade patran n. patrão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Ubwê","Topónimo","Praia Boi patxya n. parteira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Uva","Topónimo","Praia Uva Paxkwa n. Páscoa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paa Xyaba","Topónimo","Praia Xyaba paxte n. pastel","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"paage","Substantivo","papagaio paxya v. passear","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paakê Ve","Topónimo","Parque Velho paya n. palha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Paanha","Topónimo","Prainha pazê n. prazer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"paatu","Substantivo","prato pe ideo. cf. tudu peL03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"paatxi","Substantivo","parte pedixi n. perdiz","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"padin","Substantivo","padrinho                       N09   Pêdrêra top. Pedreira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"padran","Substantivo","padrão Pedu ant. Pedro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"paga","Verbo","pagar pêêdê v. perder","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"paji","Substantivo","paz pêêdê kabe expr. ficar louco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
pêêdê mêzê","Expressão","engravidar pidi kwê manda pro. por que","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pêêdê xintxidu","Expressão","desmaiar pidi kwê sa pro. por que","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pêêdêw","Substantivo","pedreiro pidixi 1. conj. por causa de; 2. conj. porque","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Pikan","Topónimo","Picão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"peetu gbin","Expressão","muito preto pikan-pêxi n. conóbia (Alcedo leucogaster)T06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"peetu pi","Expressão","muito preto pikitu n. periquito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"piku","Substantivo","montanha, morro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pega","Verbo","pregar Piku Paage top. Pico Papagaio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pega pwede","Expressão","pregar na parede pilha adv. muito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pega ufôgu","Expressão","confusão pilolo n. pênis","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pega-pega","Substantivo","picão preto                               pimarya n. escola primária","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"peleja","Substantivo","brincadeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pimyô","Numeral","primeiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Pinkêtê","Topónimo","Pinkêtê","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pintadu","Substantivo","Refeição de arroz com feijão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pemya wan","Expressão","manhã muito cedo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pintôru","Substantivo","pintor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pena","Substantivo","perna","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Pinxipi","Topónimo","Príncipe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pipinu","Substantivo","pepino","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pene-uê","Substantivo","cílio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pixiza","Verbo","precisar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pensa","Verbo","pensar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pepelu","Substantivo","papel pixkadô n. pescador","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pesa","Verbo","emprestar po v. cf. podiL04","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pesena-uê","Substantivo","sobrancelha pô prep. por","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pesu","Substantivo","custo po ma fa expr. não aguentar mais","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pô sempi","Expressão","para sempre","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pô zempu","Expressão","por exemplo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"taadi         pobê vantenadu","Expressão","paupérrimo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"podi","Verbo","poder","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pêxi","Substantivo","peixe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pôfêsô","Substantivo","professor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pêxi-paage","Substantivo","peixe-papagaio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pogama","Substantivo","programa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pêxi-paata","Substantivo","peixe prata","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pojetu","Substantivo","projeto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pêzêdentê","Substantivo","presidente","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pôkê","Conjunção","porque","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pôlôvô","Substantivo","polvo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pia","Substantivo","pia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pombô","Substantivo","pombo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pombô-umatu","Substantivo","rola","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pombô-usan","Substantivo","rola puusu-uman n. antebraço","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ponta","Substantivo","ponta puyta n. puyta. Tipo de dança tradicional","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ponta Muzêw","Topónimo","Ponta Museu pwe n. pai","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ponta pyôpyô","Expressão","ponta aguçada pwê v. pôr","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ponta Usolu","Topónimo","Ponta do Sol pwe divida expr. contrair dívidas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pooda","Verbo","perdoar pwê manha expr. pôr defeito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pooda mi","Expressão","desculpe-me pwê n’ubaaku expr. enterrar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pôôkô","Substantivo","porco pwê n’usan expr. plantar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pwê poxta","Expressão","apostar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pwê taaxi","Expressão","colocar uma criança","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"poota","Verbo","importar-se                       A03   às costas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pooto","Substantivo","porta pweema 1. n. palma; 2. n. palmeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Pôôtô Ryali","Topónimo","Porto Real de andim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pwe-gaani","Substantivo","avô                         N09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pwêjya","Substantivo","poesia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"posan","Substantivo","cidade pwêma n. poema","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pwe-ve","Substantivo","aranha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Pôtxin","Topónimo","Portinho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pôvêdô","Substantivo","pôvêdô. Membro de uma","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pyoro","Verbo","piorar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"poveta","Verbo","aproveitar radio n. rádio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pôvô","Substantivo","povo Ramasan top. Armação","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"poxi","Substantivo","capacidade ranha n. peixe-rainha (Uranoscopus polli)T07","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ranka uê","Expressão","abrir a vista","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"poya","Verbo","apoiar ranxu-Ie n. rancho do Príncipe. Prato","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"prepara usan","Expressão","preparar o território farinha de mandioca e óleo de palma","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"prima","Substantivo","prima                             N09   ranxu-te n. rancho da terra. Prato tradicional","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"primu","Substantivo","primo                             N09   elaborado com feijão, arroz, farinha de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pudutu","Substantivo","produto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pudya","Verbo","poderia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"reda","Verbo","herdar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"pujisan","Substantivo","posição","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rêdê","Verbo","arder","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"puluman","Substantivo","pulmão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"redya","Substantivo","rédeas                          A04","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Putuga","Topónimo","Portugal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"refoga","Verbo","refogar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rêgê","Verbo","levantar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"puusu","Substantivo","pulso rêgê fasu expr. caluniar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"saa fôlôgô","Expressão","inspirar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"saada","Substantivo","puxada","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"relatividadi","Substantivo","relatividade","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rema kaxi","Expressão","começar a construir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"saata olêyn","Expressão","viajar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"saata saata","Expressão","ir de um lado pra outro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"remedya","Verbo","remediar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"repatxisan","Substantivo","repartição","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"saban","Substantivo","sabão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rêpendê","Verbo","arrepender","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Sabiina","Antropónimo","Sabrina","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"repubika","Substantivo","república","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sabônêtê","Substantivo","peixe sabonete","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sabudu","Substantivo","sábado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rextu","Substantivo","resto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sada","Substantivo","tartaruga-de-couro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"reza","Verbo","rezar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sagwa igbê","Expressão","tomar banho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rin da keba","Expressão","rachar-se de rir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"saka-peetu","Substantivo","saka-peetu. Espécie","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rinji","Substantivo","rim de formiga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sakapuli","Verbo","escapar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"roda","Substantivo","roda saka-udôdô n. saka-udôdô. Espécie","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Rôdrigi","Antropónimo","Rodrigo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sala","Substantivo","sala","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"salasa","Substantivo","brincadeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"roga paaga","Expressão","rogar praga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rompê","Advérbio","em abundância","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sama reparu","Expressão","reparar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ropa","Substantivo","roupa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"same","Substantivo","senhora","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"san","Substantivo","cf. sameL13","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rota","Verbo","estragar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"San Zwakin","Topónimo","São Joaquim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"roza-bilanza","Substantivo","dama-da-noite","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"San Zwan","Topónimo","São João","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"rôzôvê","Verbo","resolver","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santa Maa","Topónimo","Santa Maria","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ruma kidarê","Expressão","começar a gritar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santa Rita","Topónimo","Santa Rita","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ruma ope","Expressão","juntar os pés","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santa Roza","Topónimo","Santa Rosa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santana","Topónimo","Santana","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sa seda","Expressão","estar no cio Santantoni top. Santo Antônio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santantoni Pikan","Topónimo","sendê byororo expr. estender","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santantoni Sêgundu","Topónimo","sendê pigisa expr. espreguiçar-se","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"senge","Substantivo","senge. Prato típico elaborado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santome","Topónimo","São Tomé à base de farinha de milho com peixe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santome ki Ie","Topónimo","São Tomé e Príncipe sentxi num. cem, quando seguido","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Santu Kixtu","Topónimo","Santo Cristo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sera doxi","Expressão","cheirar bem","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sanu","Verbo","escolher","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sera tententen","Expressão","cheirar bem","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sapatxya","Verbo","sapatear","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sapusapu","Substantivo","sape-sape, graviola","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sesa-Ie","Substantivo","cécia-do-Príncipe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sawdadi","Substantivo","saudade sesa-Santome n. cécia-de-São-Tomé","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sawidi","Substantivo","saúde sêsenta num. sessenta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"se","Verbo","assar setembu n. setembro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"setenta","Numeral","setenta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"setxi","Numeral","sete","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sêbê","Verbo","saber setximu num. sétimo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sedu","Substantivo","cedo setxisentu num. setecentos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"seeni","Substantivo","cherne sêxta-fya n. sexta-feira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sêxtu","Numeral","sexto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sêgunda-fya","Substantivo","segunda-feira sêy num. seis","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sêgundu","Numeral","segundo seya n. saia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"segwa","Verbo","segurar sêysentu num. seiscentos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"seka","Verbo","cercar 3. conj. mas , A03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sekadô","Substantivo","secador sobaadu n. sobrado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"seketaryu","Substantivo","secretário sôfê kosan 1. expr. ficar triste;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sôfê xidentxi","Expressão","acidentar-se","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"seku bôrôrô","Expressão","sequíssimo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Sôkôô","Substantivo","Nossa Senhora do Socorro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"seku kparara","Expressão","muito seco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sokope","Substantivo","sokope. Tipo de dança tradicionalC03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sekulu","Substantivo","século","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sola","Substantivo","sola do pé","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sêlêlê","Substantivo","sêlêlê. Espécie de pássaro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"somba","Substantivo","sombra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sêlu","Substantivo","selo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sembleya","Substantivo","assembleia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sendê","Verbo","estender 2. ideo. cf. riku sônôsônô ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
sopa pingada","Expressão","dar tiro tama jambi 1. expr. entrar em transe;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tama kintxiba","Expressão","fumar cachimbo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tama minu","Expressão","engravidar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sôvê","Verbo","chover tama mye 1. expr. amasiar-se com uma","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sôwô","Substantivo","sôwô. Prato típico feito à base                tama omi 1. expr. amasiar-se com um","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"subi","Verbo","subir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tama redya","Expressão","tomar as rédeas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sukê","Substantivo","açúcar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ficar possuído por uma
sumana","Substantivo","semana entidade; 3. expr. montar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sume","Substantivo","senhor tama supitu expr. suspirar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"sun","Substantivo","cf. sumeC13                                    tama upêtu bala expr. assumir compromissoT17","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Sundi","Topónimo","Sundy tambô n. tambor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"supada","Substantivo","espada tandu prep. desde","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tansa","Verbo","calcar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"suysuy","Substantivo","suysuy                                       tantan 1. ideo. cf. ufôgu tantan;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tantu","Advérbio","tanto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
